caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,año,mes
1246,58,MUJER,PRINCIPAL,Corrientes,APUÑALAMIENTO,2018-10-29,2018,10
797,999,MUJER,PRINCIPAL,Buenos Aires,OTROS,2014-05-02,2014,7
943,39,MUJER,PRINCIPAL,Santiago del Estero,AHORCAMIENTO,2012-01-22,2012,1
37,34,MUJER,PRINCIPAL,Entre Rios,GOLPES,2012-05-21,2012,5
956,38,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,2012-12-06,2012,12
437,32,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2012-12-16,2012,12
421,50,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2012-12-17,2012,12
117,45,MUJER,PRINCIPAL,Salta,DISPARO DE BALA,2012-12-30,2012,12
369,41,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA,2012-12-30,2012,12
417,28,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2014-12-03,2013,7
96,21,MUJER,PRINCIPAL,Cordoba,QUEMADURAS,2013-01-01,2013,1
367,10,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO,2013-01-02,2013,1
367,34,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2013-01-02,2013,1
195,7,MUJER,PRINCIPAL,Misiones,OTROS,2013-01-09,2013,1
303,63,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2013-01-13,2013,1
468,,HOMBRE,VINCULADO,Entre Rios,DISPARO DE BALA,2013-01-13,2013,1
196,40,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO,2013-01-13,2013,1
242,37,MUJER,PRINCIPAL,Mendoza,DISPARO DE BALA,2013-01-16,2013,1
233,21,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA,2013-01-17,2013,1
340,18,MUJER,PRINCIPAL,San Luis,DISPARO DE BALA,2013-01-19,2013,1
238,32,MUJER,PRINCIPAL,Santa Fe,APUÑALAMIENTO,2013-01-19,2013,1
79,26,MUJER,PRINCIPAL,Chubut,APUÑALAMIENTO,2013-01-27,2013,1
359,,MUJER,PRINCIPAL,Catamarca,ACUCHILLAMIENTO,2013-01-29,2013,1
428,26,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2013-01-30,2013,1
358,,MUJER,PRINCIPAL,Tucuman,QUEMADURAS,2013-02-02,2013,2
350,78,MUJER,PRINCIPAL,Cordoba,DISPARO DE BALA,2013-02-06,2013,2
124,31,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,2013-02-08,2013,2
176,47,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2013-02-08,2013,2
93,34,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2013-02-09,2013,2
1096,20,MUJER,PRINCIPAL,Buenos Aires,OTROS,2013-02-10,2013,2
390,,MUJER,PRINCIPAL,Cordoba,GOLPES,2013-02-11,2013,2
368,23,MUJER,PRINCIPAL,Entre Rios,ESTRANGULAMIENTO,2013-02-11,2013,2
281,22,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA,2013-02-11,2013,2
793,14,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2013-02-12,2013,2
357,25,MUJER,PRINCIPAL,Cordoba,INDEFINIDO,2013-02-12,2013,2
682,23,MUJER,PRINCIPAL,Entre Rios,GOLPES,2013-02-12,2013,2
189,19,MUJER,PRINCIPAL,Buenos Aires,OTROS,2013-02-14,2013,2
197,47,MUJER,PRINCIPAL,Misiones,GOLPES,2013-02-14,2013,2
249,34,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA,2013-02-17,2013,2
406,2,HOMBRE,VINCULADO,Buenos Aires,DEGOLLAMIENTO,2013-02-18,2013,2
406,7,HOMBRE,VINCULADO,Buenos Aires,DEGOLLAMIENTO,2013-02-18,2013,2
351,25,MUJER,PRINCIPAL,Cordoba,ESTRANGULAMIENTO,2013-02-20,2013,2
465,11,MUJER,PRINCIPAL,Buenos Aires,OTROS,2013-02-23,2013,2
474,30,MUJER,PRINCIPAL,Jujuy,DISPARO DE BALA,2013-02-24,2013,2
352,34,MUJER,PRINCIPAL,Cordoba,INDEFINIDO,2013-03-03,2013,3
3,23,MUJER,PRINCIPAL,Catamarca,GOLPES,2013-03-05,2013,3
464,25,MUJER,PRINCIPAL,Santa Fe,GOLPES,2013-03-07,2013,3
423,43,MUJER,PRINCIPAL,Cordoba,ACUCHILLAMIENTO,2013-03-08,2013,3
354,46,MUJER,VINCULADO,Cordoba,ACUCHILLAMIENTO,2013-03-12,2013,3
391,27,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO,2013-03-13,2013,3
