caso_numero,victima_edad,victima_identidad_genero,victima_tipo,hecho_provincia,hecho_modalidad_comisiva,hecho_fecha,añomes,mes
703,42,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-07-20,2016,7
14,,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-02-23,2015,2
18,44,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2015-02-24,2015,2
13,18,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2015-01-09,2015,1
867,30,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2017-03-22,2017,3
2,32,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2014-03-27,2014,3
90,43,MUJER,PRINCIPAL,Buenos Aires,OTROS,2015-05-29,2015,5
603,,TRANSGENERO,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2016-02-28,2016,2
12,19,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-01-12,2015,1
15,21,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2015-01-06,2015,1
17,19,MUJER,VINCULADO,Buenos Aires,INDEFINIDO,2015-02-24,2015,2
9,7,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO,2014-09-04,2014,9
10,26,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,2015-03-20,2015,3
6,39,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2014-09-25,2014,9
59,30,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,2015-04-11,2015,4
60,53,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2013-05-29,2013,5
74,34,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO,2013-07-06,2013,7
78,16,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2013-06-10,2013,6
58,27,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2015-04-14,2015,4
69,49,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2013-11-23,2013,11
53,19,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2013-09-30,2013,9
5,49,MUJER,PRINCIPAL,Buenos Aires,OTROS,2014-05-18,2014,5
54,15,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2013-09-07,2013,9
68,38,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2014-04-14,2014,4
85,38,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2013-07-20,2013,7
91,26,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2015-03-16,2015,3
87,15,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2014-07-23,2014,7
94,19,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,2015-03-14,2015,3
93,34,MUJER,PRINCIPAL,Buenos Aires,INDEFINIDO,2013-02-09,2013,2
86,22,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2013-06-04,2013,6
84,22,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,2015-02-23,2015,2
88,28,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2014-02-19,2014,2
89,18,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2015-05-23,2015,5
109,20,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2015-06-27,2015,6
123,17,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-07-01,2015,7
124,31,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS,2013-02-08,2013,2
145,40,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-07-08,2015,7
149,65,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2014-04-10,2014,4
128,49,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-05-02,2015,5
129,44,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2014-08-14,2014,8
151,16,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,2014-11-16,2014,11
150,26,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-04-09,2015,4
152,24,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2015-05-04,2015,5
121,39,TRANSGENERO,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2015-06-05,2015,6
140,34,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-01-30,2015,1
185,24,MUJER,PRINCIPAL,Buenos Aires,OTROS,2013-11-25,2013,11
160,32,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2015-04-15,2015,4
169,27,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-03-01,2015,3
165,29,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO,2015-01-17,2015,1
183,33,MUJER,PRINCIPAL,Buenos Aires,GOLPES,2013-06-02,2013,6
186,20,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2015-07-24,2015,7
189,19,MUJER,PRINCIPAL,Buenos Aires,OTROS,2013-02-14,2013,2
184,23,MUJER,PRINCIPAL,Buenos Aires,OTROS,2015-05-25,2015,5
193,23,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2015-07-30,2015,7
277,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA,2015-04-08,2015,4
11,38,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,2014-01-16,2014,1
337,38,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO,2014-09-25,2014,9
286,69,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA,2013-12-26,2013,12
